"","ppid","trial_num","block_num","trial_num_in_block","start_time","end_time","target_angle","angular_dev_h","plane_visible","high_targets","rotated_session"
"59",1,239,10,11,1137.702,1141.091,140,-28.8387401831717,FALSE,FALSE,TRUE
"60",1,240,10,12,1141.091,1144.446,100,-18.8958569696633,FALSE,FALSE,TRUE
"61",1,256,12,1,1195.769,1198.391,80,-37.1893157774478,TRUE,FALSE,TRUE
"62",1,257,12,2,1198.391,1200.903,120,-33.7619783042636,TRUE,FALSE,TRUE
"63",1,258,12,3,1200.903,1212.925,100,-17.4514297919696,TRUE,FALSE,TRUE
"64",1,259,12,4,1212.925,1218.303,40,-23.525381026035,TRUE,FALSE,TRUE
"65",1,260,12,5,1218.303,1225.114,140,-49.3279395682437,TRUE,FALSE,TRUE
"66",1,261,12,6,1225.114,1229.225,60,-14.2808438834549,TRUE,FALSE,TRUE
"67",1,262,12,7,1229.225,1233.247,100,-21.1159294473316,TRUE,FALSE,TRUE
"68",1,263,12,8,1233.247,1236.259,80,-8.48864681986456,TRUE,FALSE,TRUE
"69",1,264,12,9,1236.259,1239.059,60,4.77372088438079,TRUE,FALSE,TRUE
"70",1,265,12,10,1239.059,1242.081,120,-6.64791943768813,TRUE,FALSE,TRUE
"71",1,266,12,11,1242.081,1246.547,140,-29.4084885023632,TRUE,FALSE,TRUE
"72",1,267,12,12,1246.547,1251.636,40,-4.53323279003003,TRUE,FALSE,TRUE
"73",1,283,14,1,1311.237,1314.271,80,-34.0651867880207,FALSE,TRUE,TRUE
"74",1,284,14,2,1314.271,1316.915,60,-3.97968146805272,FALSE,TRUE,TRUE
"75",1,285,14,3,1316.915,1319.471,40,3.94126627679719,FALSE,TRUE,TRUE
"76",1,286,14,4,1319.471,1322.571,100,-13.107292377941,FALSE,TRUE,TRUE
"77",1,287,14,5,1322.571,1327.182,120,-14.2229084645905,FALSE,TRUE,TRUE
"78",1,288,14,6,1327.182,1330.271,140,-25.2248594311681,FALSE,TRUE,TRUE
"79",1,289,14,7,1330.271,1333.371,100,-22.1714582085875,FALSE,TRUE,TRUE
"80",1,290,14,8,1333.371,1336.771,120,-22.5813499398866,FALSE,TRUE,TRUE
"81",1,291,14,9,1336.771,1339.371,140,-25.0900196420271,FALSE,TRUE,TRUE
"82",1,292,14,10,1339.371,1342.071,60,-27.3751314227366,FALSE,TRUE,TRUE
"83",1,293,14,11,1342.071,1347.571,80,-13.7434179439964,FALSE,TRUE,TRUE
"84",1,294,14,12,1347.571,1350.66,40,3.69535270392156,FALSE,TRUE,TRUE
"85",1,310,16,1,1401.65,1404.772,40,-5.91112838428341,TRUE,TRUE,TRUE
"86",1,311,16,2,1404.772,1415.394,120,-22.3942204256181,TRUE,TRUE,TRUE
"87",1,312,16,3,1415.394,1418.883,60,-23.3161269586635,TRUE,TRUE,TRUE
"88",1,313,16,4,1418.883,1422.394,140,-39.3014870354167,TRUE,TRUE,TRUE
"89",1,314,16,5,1422.394,1425.305,80,-27.5479225565953,TRUE,TRUE,TRUE
"90",1,315,16,6,1425.305,1436.05,100,-33.5400392695143,TRUE,TRUE,TRUE
"91",1,316,16,7,1436.05,1439.617,40,-15.8067910127112,TRUE,TRUE,TRUE
"92",1,317,16,8,1439.617,1449.117,100,-47.1998121158183,TRUE,TRUE,TRUE
"93",1,318,16,9,1449.117,1452.394,120,-32.2025981617658,TRUE,TRUE,TRUE
"94",1,319,16,10,1452.394,1456.317,140,-45.3141001604973,TRUE,TRUE,TRUE
"95",1,320,16,11,1456.317,1459.206,80,-16.6426876871687,TRUE,TRUE,TRUE
"96",1,321,16,12,1459.206,1462.661,60,14.5723907608144,TRUE,TRUE,TRUE
"97",2,46,2,1,340.3408,343.8742,40,22.8389154007793,FALSE,FALSE,FALSE
"98",2,47,2,2,343.8742,346.752,80,5.06705337132261,FALSE,FALSE,FALSE
"99",2,48,2,3,346.752,350.041,140,0.75826016436676,FALSE,FALSE,FALSE
"100",2,49,2,4,350.041,353.0079,120,2.61301323762893,FALSE,FALSE,FALSE
"101",2,50,2,5,353.0079,355.7522,60,11.7258434009313,FALSE,FALSE,FALSE
"102",2,51,2,6,355.7522,359.5967,100,-5.16958004171006,FALSE,FALSE,FALSE
"103",2,52,2,7,359.5967,362.5522,40,5.11621846031255,FALSE,FALSE,FALSE
"104",2,53,2,8,362.5522,366.3079,60,-11.1146839472003,FALSE,FALSE,FALSE
"105",2,54,2,9,366.3079,370.2302,120,-12.7796207250217,FALSE,FALSE,FALSE
"106",2,55,2,10,370.2302,373.0414,80,-4.35259731789164,FALSE,FALSE,FALSE
"107",2,56,2,11,373.0414,376.1302,100,-14.4971516146678,FALSE,FALSE,FALSE
"108",2,57,2,12,376.1302,384.5972,140,-2.79241222059349,FALSE,FALSE,FALSE
"109",2,73,4,1,422.0752,424.8306,120,-14.7598919802543,TRUE,FALSE,FALSE
"110",2,74,4,2,424.8306,427.2641,60,10.9513905391915,TRUE,FALSE,FALSE
"111",2,75,4,3,427.2641,431.9755,80,7.32318553291354,TRUE,FALSE,FALSE
"112",2,76,4,4,431.9755,434.8315,40,10.6703573438939,TRUE,FALSE,FALSE
"113",2,77,4,5,434.8315,438.2415,100,11.2580803060729,TRUE,FALSE,FALSE
"114",2,78,4,6,438.2415,443.2307,140,-14.8475569741162,TRUE,FALSE,FALSE
"115",2,79,4,7,443.2307,447.9421,140,-13.701026160727,TRUE,FALSE,FALSE
"116",2,80,4,8,447.9421,450.709,40,-1.26619809847925,TRUE,FALSE,FALSE
"117",2,81,4,9,450.709,454.1311,60,-14.1417004699685,TRUE,FALSE,FALSE
"118",2,82,4,10,454.1311,458.6866,100,-6.0995062576181,TRUE,FALSE,FALSE
"119",2,83,4,11,458.6866,463.22,80,-9.56712909805333,TRUE,FALSE,FALSE
"120",2,84,4,12,463.22,468.6092,120,3.92552830802988,TRUE,FALSE,FALSE
"121",2,100,6,1,507.5651,510.4099,80,-12.0639646829773,FALSE,TRUE,FALSE
"122",2,101,6,2,510.4099,515.9319,100,2.4440507006904,FALSE,TRUE,FALSE
"123",2,102,6,3,515.9319,519.0209,60,-4.70479441613593,FALSE,TRUE,FALSE
"124",2,103,6,4,519.0209,521.9877,40,9.45899552514572,FALSE,TRUE,FALSE
"125",2,104,6,5,521.9877,525.5209,140,-12.7156735635484,FALSE,TRUE,FALSE
"126",2,105,6,6,525.5209,529.2542,120,-17.3502195922502,FALSE,TRUE,FALSE
"127",2,106,6,7,529.2542,532.6099,100,-21.6445568430581,FALSE,TRUE,FALSE
"128",2,107,6,8,532.6099,535.7768,120,-9.54496980183472,FALSE,TRUE,FALSE
"129",2,108,6,9,535.7768,538.5876,40,-9.19548646955019,FALSE,TRUE,FALSE
"130",2,109,6,10,538.5876,541.8211,80,-16.7992288084325,FALSE,TRUE,FALSE
"131",2,110,6,11,541.8211,545.2101,140,11.5208921890035,FALSE,TRUE,FALSE
"132",2,111,6,12,545.2101,548.4767,60,-23.0544144463818,FALSE,TRUE,FALSE
"133",2,127,8,1,587.1882,592.7881,140,19.7924400186423,TRUE,TRUE,FALSE
"134",2,128,8,2,592.7881,596.2328,60,-17.8734384975935,TRUE,TRUE,FALSE
"135",2,129,8,3,596.2328,602.1773,100,-2.11165055511211,TRUE,TRUE,FALSE
"136",2,130,8,4,602.1773,605.5778,40,7.12109639666145,TRUE,TRUE,FALSE
"137",2,131,8,5,605.5778,608.9886,120,24.4417196272836,TRUE,TRUE,FALSE
"138",2,132,8,6,608.9886,612.8552,80,-29.9232697342532,TRUE,TRUE,FALSE
"139",2,133,8,7,612.8552,617.5992,100,5.48416971391568,TRUE,TRUE,FALSE
"140",2,134,8,8,617.5992,620.433,80,-29.8532976780721,TRUE,TRUE,FALSE
"141",2,135,8,9,620.433,623.9554,140,6.44788352249086,TRUE,TRUE,FALSE
"142",2,136,8,10,623.9554,627.5555,120,-13.3648808422126,TRUE,TRUE,FALSE
"143",2,137,8,11,627.5555,632.1222,40,-11.0908163488522,TRUE,TRUE,FALSE
