"","trial_num","block_num","trial_num_in_block","cursor_visibility","trial_type","rotation","1","2","3","4","5","6","7"
"1",1,1,1,"True","aligned_1_1",0,0,-12.3807569288072,0.545657593415726,-11.5448874877565,-39.3025692283412,-2.95794152905943,18.0496804158258
"2",2,1,2,"True","aligned_1_1",0,-5.78239232236403,-2.96945384165993,0.370841290828068,8.15178066546096,14.0362434679265,-8.07948772110926,-2.68639475436078
"3",3,1,3,"True","aligned_1_1",0,-2.12765723248678,-13.9154514202223,-6.99334538680613,-0.939190945735575,-5.44922612896465,-9.64804531609816,-2.48236669608512
"4",4,1,4,"True","aligned_1_1",0,0.166557029421455,-2.99530328760274,-1.42763667456023,-2.97802065194975,-10.3684554123951,-12.7879726548023,-5.10216525235818
"5",5,1,5,"True","aligned_1_1",0,-4.11106460397912,-5.95983911071306,1.13281975836748,0.640149669523538,-45,-12.4318606282151,-28.2016282186947
"6",6,1,6,"True","aligned_1_1",0,-2.37076433025038,-8.95370462763415,7.64604814531847,-1.56935480474897,1.83150840800732,-14.7967622450573,-9.55428967240177
"7",7,1,7,"True","aligned_1_1",0,-3.57633437499734,-16.9509341472599,7.35839908875371,1.05118074954376,-3.29520995285105,-20.34217618857,-4.03341107277019
"8",8,1,8,"True","aligned_1_1",0,-3.52851617585672,-7.26805116466979,12.8201396705083,2.65936801312291,-12.2647737278924,-13.3052365060911,-13.9444969018057
"9",9,1,9,"True","aligned_1_1",0,2.28359108156705,2.6942842898561,-1.1077913766686,13.552189259089,-6.97761849083169,-9.83356396420712,-15.5142273019216
"10",10,1,10,"True","aligned_1_1",0,-5.07960786001458,-8.3390194939502,5.44865144135987,-11.9506472668461,-1.62728332239359,-14.7626169692944,-16.9354017849444
"11",11,1,11,"True","aligned_1_1",0,-2.92734799174087,-1.39718102729637,5.96448710125314,-5.1050904465923,-2.17474411461005,-4.60212146902427,-14.8313858509425
"12",12,1,12,"True","aligned_1_1",0,-3.54147586408041,-8.1085382680409,-1.1077913766686,0,3.44085692222971,-5.97001598085703,-10.105036365038
"13",13,1,13,"True","aligned_1_1",0,-0.54393093279144,-10.1755108430432,2.21569583658922,-0.722936768437506,-4.48785186154167,-5.72837581213446,-11.6829466018182
"14",14,1,14,"True","aligned_1_1",0,-9.40634198205449,-3.15071641326774,-2.05103841709088,-7.34219434897607,-0.164642591407457,-13.6987170070845,-15.1577873479064
"15",15,1,15,"True","aligned_1_1",0,-12.0827905401115,-8.58049432262807,-1.2801395596049,-6.13361985347039,-4.96974072811031,-13.4486150516865,-3.90049374238188
"16",16,1,16,"True","aligned_1_1",0,-9.43205502673486,-7.39959465988711,-4.46715906138927,-11.2744990960309,6.11550356628541,-3.23254011374586,-6.45246288800251
"17",17,1,17,"True","aligned_1_1",0,-12.4318606282151,1.03848045782011,4.48158821856917,-13.0333563259138,-1.50743575877496,-9.30688097377623,-12.914632042321
"18",18,1,18,"True","aligned_1_1",0,-6.59553634737071,-0.658543177563601,-2.79270236571328,-1.06749968374021,-11.9341959250586,-9.68878656036679,-13.0660044692958
"19",19,1,19,"True","aligned_1_1",0,-11.2357151845544,-3.39794762463799,-1.70472831900727,-4.86833237468518,-4.48785186154167,-7.1482883945404,-5.15987174695945
"20",20,1,20,"True","aligned_1_1",0,-11.8690797798354,-5.09049783318166,-1.90915243299638,-0.559875790161669,-2.18965435095853,-7.5472817100148,-4.42583403644981
"21",21,1,21,"True","aligned_1_1",0,-5.05889804398844,-2.80027916803793,-11.8507827984002,13.0755810990899,-7.84709900921375,0.369645061847024,-22.271862792136
"22",22,1,22,"True","aligned_1_1",0,2.40741384434011,-1.18293058519626,3.44738685186522,4.14983529098198,-0.169513645977091,-5.51613119531291,-16.0239190763108
"23",23,1,23,"True","aligned_1_1",0,-4.16292158511891,-2.38594403038881,5.02773972590131,-6.76035326399628,-3.49705973929824,-16.1669942870162,-23.4399360934349
"24",24,1,24,"True","aligned_1_1",0,-2.62812545757623,-1.64702866125873,-4.41279332606965,-1.40145205073334,-2.4666009485254,-11.6835214739374,-11.0702025779394
"25",25,1,25,"True","aligned_1_1",0,-6.32084160158882,-4.96974072811031,-10.351669487092,-6.45246288800251,-13.0218745346333,-4.56664560539863,-33.1181685753181
"26",26,1,26,"True","aligned_1_1",0,-5.28124062844513,0.55445797726091,-1.52979072428634,-1.8476102659946,-5.08710485434707,-1.7516186093079,-12.9946167919165
"27",27,1,27,"True","aligned_1_1",0,-2.63243486898648,2.7881759176651,-1.54398678979751,-10.1366896477781,0.88686073747165,-3.65222278030633,-13.2620233029984
"28",28,1,28,"True","aligned_1_1",0,-1.04797664600648,5.71059313749964,-0.957500484331305,-3.06361165955167,-7.73359809902287,-3.91592383142192,-24.3884087197639
"29",29,1,29,"True","aligned_1_1",0,-12.3674683833524,-2.28409100984004,3.05740342688415,1.59606385797572,-5.72639451037898,-10.105036365038,-11.6137964581377
"30",30,1,30,"True","aligned_1_1",0,1.82991363950707,-0.906503143948058,-8.75779828585443,-1.99787985647669,-2.08888966620701,-9.6930035162371,-1.70135460532612
"31",31,1,31,"True","aligned_1_1",0,-3.70842815713046,-6.19261762404757,-0.360346063387226,-0.713929148885597,-6.23708007645848,-11.2369442593448,-13.9920337702858
"32",32,1,32,"True","aligned_1_1",0,-7.23151395769267,-0.352584961656504,1.35186187555924,-6.94865436795571,0.510037976966672,-2.87136329037789,-5.98944774712155
"33",33,1,33,"True","aligned_1_1",0,-6.05173210879401,-0.915190201715532,-5.26239539959511,-0.860232346917343,4.91461836240777,-0.713929148885597,-11.5921754102911
"34",34,1,34,"True","aligned_1_1",0,-3.24275297762266,-1.35186187555922,1.53160779201102,12.0947570770121,-3.80144070450328,-6.14662565964667,-9.60789044032735
"35",35,1,35,"True","aligned_1_1",0,-5.79785438515964,-4.26261112279006,-4.10999796127476,-10.7612009407649,-6.97761849083169,-3.48932490579639,-9.00003648978502
"36",36,1,36,"True","aligned_1_1",0,-2.45672807339153,-2.71769638270773,2.1263418218517,-5.13255443987296,-8.73209159006964,-5.03193422282922,-8.10769493272772
"37",37,1,37,"True","aligned_1_1",0,-4.99374398582339,-5.44922612896465,0.957500484331291,-0.318306611451362,-1.13817700748818,-14.8001419288565,-10.2397746290401
"38",38,1,38,"True","aligned_1_1",0,3.42387124493068,-6.03768252142289,1.22259019197709,2.99428111609532,1.23008844775735,-10.3215410427438,-4.15385308695119
"39",39,1,39,"True","aligned_1_1",0,-5.14276455788423,-4.46448693288113,-4.27731617324476,-1.9873842018014,-0.892385458740549,-9.1680475510768,-7.74034115883792
"40",40,1,40,"True","aligned_1_1",0,-5.33632009739144,-2.16107948822638,-1.76981211586231,10.575859542653,-0.533796165832769,-15.5725435968103,-11.1695019230829
"41",41,1,41,"True","aligned_1_1",0,-8.36588612403258,-11.0543124640812,-0.508529068232107,0,-5.3862502702882,-10.8855270546587,-7.43140797117252
"42",42,1,42,"True","aligned_1_1",0,-5.50320556848864,-2.19057386403823,-6.79270064450657,-6.04223534597598,7.42446891591842,-6.76901645224439,-0.185422587343936
"43",43,1,43,"True","aligned_1_1",0,-5.15987174695945,-4.61329528612492,0.289370163440594,3.0295406556103,-5.53326229080753,-8.81427418899733,-2.34835331309959
"44",44,1,44,"True","aligned_1_1",0,-2.59415119558533,-3.87540619548639,-7.34666235936123,4.99374398582339,-18.1218602479014,0,-12.1076702567603
"45",45,1,45,"True","aligned_1_1",0,-9.15025677801488,3.05502233326742,1.19039034460853,-0.340030307762959,-1.90915243299638,-10.5432463946863,-9.70192678936502
"46",46,2,1,"False","no_cursor_1_2",0,-11.6022360840739,22.8389154007793,17.2265008961878,0.577970467567283,-2.4109557406024,-2.44024603551517,-14.4671590613893
"47",47,2,2,"False","no_cursor_1_2",0,-4.66784111834043,5.06705337132261,28.1336293402214,18.6350820410352,1.36943920611233,6.39213762629392,-23.2268942727395
"48",48,2,3,"False","no_cursor_1_2",0,13.3444485227984,0.75826016436676,12.8624052261118,-19.1596422937126,-14.3338000298169,-5.44783663000759,-13.0933035284431
"49",49,2,4,"False","no_cursor_1_2",0,-5.60056407582485,2.61301323762893,29.0567021811839,-10.4972431068066,-4.04016088928694,-11.6522997303542,-6.35857064528523
"50",50,2,5,"False","no_cursor_1_2",0,-33.9860411726737,11.7258434009313,-2.74362175781118,12.3579059707169,-6.38952864698169,-29.4006606634794,-20.7164471947386
"51",51,2,6,"False","no_cursor_1_2",0,11.8675089613229,-5.16958004171006,21.2178173495213,-2.47050579516224,-18.9740196203298,-31.0490047925332,-29.1670555226312
"52",52,2,7,"False","no_cursor_1_2",0,-19.8774881290383,5.11621846031255,4.88378153968743,-0.120726216993262,-11.8721886714882,-36.565051177078,-21.5237217038973
"53",53,2,8,"False","no_cursor_1_2",0,10.6410058243053,-11.1146839472003,0.684288985580068,-7.47477425625567,1.14321519658446,-29.2513365827123,-24.1769363236771
"54",54,2,9,"False","no_cursor_1_2",0,17.2243156940453,-12.7796207250217,10.5740344747265,-3.43494882292198,3.16029696270388,-9.89222182270222,-41.6492474676686
"55",55,2,10,"False","no_cursor_1_2",0,-17.1957339347132,-4.35259731789164,7.16238632210155,-8.15722658736907,-2.52854540433823,-29.4560690672086,-30.8025139539355
