"","directory","experiment","ppid","session_num","trial_num","block_num","trial_num_in_block","start_time","end_time","test_to_log","cursor_visibility","rotation","trial_type","target_angle","example_object_movement_filename","angular_dev_h","plane_visible","high_targets"
"1","visible_plane - A/1/S001","visible_plane - A",1,1,1,1,1,17.32783,207.1547,"A","True",0,"aligned_1_1",90,"example_object_movement_T001.csv",0,FALSE,FALSE
"2","visible_plane - A/1/S001","visible_plane - A",1,1,2,1,2,207.1547,211.411,"A","True",0,"aligned_1_1",90,"example_object_movement_T002.csv",-5.78239232236403,FALSE,FALSE
"3","visible_plane - A/1/S001","visible_plane - A",1,1,3,1,3,211.411,214.433,"A","True",0,"aligned_1_1",90,"example_object_movement_T003.csv",-2.12765723248678,FALSE,FALSE
"4","visible_plane - A/1/S001","visible_plane - A",1,1,4,1,4,214.433,217.611,"A","True",0,"aligned_1_1",90,"example_object_movement_T004.csv",0.166557029421455,FALSE,FALSE
"5","visible_plane - A/1/S001","visible_plane - A",1,1,5,1,5,217.611,221.4002,"A","True",0,"aligned_1_1",90,"example_object_movement_T005.csv",-4.11106460397912,FALSE,FALSE
"6","visible_plane - A/1/S001","visible_plane - A",1,1,6,1,6,221.4002,224.2001,"A","True",0,"aligned_1_1",90,"example_object_movement_T006.csv",-2.37076433025038,FALSE,FALSE
"7","visible_plane - A/1/S001","visible_plane - A",1,1,7,1,7,224.2001,226.9113,"A","True",0,"aligned_1_1",90,"example_object_movement_T007.csv",-3.57633437499734,FALSE,FALSE
"8","visible_plane - A/1/S001","visible_plane - A",1,1,8,1,8,226.9113,229.8333,"A","True",0,"aligned_1_1",90,"example_object_movement_T008.csv",-3.52851617585672,FALSE,FALSE
"9","visible_plane - A/1/S001","visible_plane - A",1,1,9,1,9,229.8333,232.8001,"A","True",0,"aligned_1_1",90,"example_object_movement_T009.csv",2.28359108156705,FALSE,FALSE
"10","visible_plane - A/1/S001","visible_plane - A",1,1,10,1,10,232.8001,235.6112,"A","True",0,"aligned_1_1",90,"example_object_movement_T010.csv",-5.07960786001458,FALSE,FALSE
"11","visible_plane - A/1/S001","visible_plane - A",1,1,11,1,11,235.6112,238.3558,"A","True",0,"aligned_1_1",90,"example_object_movement_T011.csv",-2.92734799174087,FALSE,FALSE
"12","visible_plane - A/1/S001","visible_plane - A",1,1,12,1,12,238.3558,241.3114,"A","True",0,"aligned_1_1",90,"example_object_movement_T012.csv",-3.54147586408041,FALSE,FALSE
"13","visible_plane - A/1/S001","visible_plane - A",1,1,13,1,13,241.3114,244.4449,"A","True",0,"aligned_1_1",90,"example_object_movement_T013.csv",-0.54393093279144,FALSE,FALSE
"14","visible_plane - A/1/S001","visible_plane - A",1,1,14,1,14,244.4449,247.1558,"A","True",0,"aligned_1_1",90,"example_object_movement_T014.csv",-9.40634198205449,FALSE,FALSE
"15","visible_plane - A/1/S001","visible_plane - A",1,1,15,1,15,247.1558,252.0338,"A","True",0,"aligned_1_1",90,"example_object_movement_T015.csv",-12.0827905401115,FALSE,FALSE
"16","visible_plane - A/1/S001","visible_plane - A",1,1,16,1,16,252.0338,255.0117,"A","True",0,"aligned_1_1",90,"example_object_movement_T016.csv",-9.43205502673486,FALSE,FALSE
"17","visible_plane - A/1/S001","visible_plane - A",1,1,17,1,17,255.0117,257.7673,"A","True",0,"aligned_1_1",90,"example_object_movement_T017.csv",-12.4318606282151,FALSE,FALSE
"18","visible_plane - A/1/S001","visible_plane - A",1,1,18,1,18,257.7673,260.7672,"A","True",0,"aligned_1_1",90,"example_object_movement_T018.csv",-6.59553634737071,FALSE,FALSE
"19","visible_plane - A/1/S001","visible_plane - A",1,1,19,1,19,260.7672,263.967,"A","True",0,"aligned_1_1",90,"example_object_movement_T019.csv",-11.2357151845544,FALSE,FALSE
