"","directory","experiment","ppid","session_num","trial_num","block_num","trial_num_in_block","start_time","end_time","test_to_log","cursor_visibility","rotation","trial_type","target_angle","example_object_movement_filename","angular_dev_h","plane_visible","high_targets"
"1","visible_plane - B/8/S001","visible_plane - B",8,1,1,1,1,115.6978,480.4317,"A","True",0,"aligned_1_1",90,"example_object_movement_T001.csv",-4.0724392780193,FALSE,FALSE
"2","visible_plane - B/8/S001","visible_plane - B",8,1,2,1,2,480.4317,483.4209,"A","True",0,"aligned_1_1",90,"example_object_movement_T002.csv",-3.86999496050602,FALSE,FALSE
"3","visible_plane - B/8/S001","visible_plane - B",8,1,3,1,3,483.4209,486.3319,"A","True",0,"aligned_1_1",90,"example_object_movement_T003.csv",-2.12765723248678,FALSE,FALSE
"4","visible_plane - B/8/S001","visible_plane - B",8,1,4,1,4,486.3319,490.3651,"A","True",0,"aligned_1_1",90,"example_object_movement_T004.csv",-1.86565239183251,FALSE,FALSE
"5","visible_plane - B/8/S001","visible_plane - B",8,1,5,1,5,490.3651,497.1316,"A","True",0,"aligned_1_1",90,"example_object_movement_T005.csv",-7.16723872851978,FALSE,FALSE
"6","visible_plane - B/8/S001","visible_plane - B",8,1,6,1,6,497.1316,500.8542,"A","True",0,"aligned_1_1",90,"example_object_movement_T006.csv",-3.47874514014495,FALSE,FALSE
"7","visible_plane - B/8/S001","visible_plane - B",8,1,7,1,7,500.8542,504.0211,"A","True",0,"aligned_1_1",90,"example_object_movement_T007.csv",-3.71528910542877,FALSE,FALSE
"8","visible_plane - B/8/S001","visible_plane - B",8,1,8,1,8,504.0211,507.8547,"A","True",0,"aligned_1_1",90,"example_object_movement_T008.csv",0,FALSE,FALSE
"9","visible_plane - B/8/S001","visible_plane - B",8,1,9,1,9,507.8547,511.4883,"A","True",0,"aligned_1_1",90,"example_object_movement_T009.csv",-7.34122581136417,FALSE,FALSE
"10","visible_plane - B/8/S001","visible_plane - B",8,1,10,1,10,511.4883,514.5211,"A","True",0,"aligned_1_1",90,"example_object_movement_T010.csv",-11.1624533157807,FALSE,FALSE
"11","visible_plane - B/8/S001","visible_plane - B",8,1,11,1,11,514.5211,517.8324,"A","True",0,"aligned_1_1",90,"example_object_movement_T011.csv",-14.8986954344003,FALSE,FALSE
"12","visible_plane - B/8/S001","visible_plane - B",8,1,12,1,12,517.8324,521.3104,"A","True",0,"aligned_1_1",90,"example_object_movement_T012.csv",-7.43920862184085,FALSE,FALSE
"13","visible_plane - B/8/S001","visible_plane - B",8,1,13,1,13,521.3104,524.7546,"A","True",0,"aligned_1_1",90,"example_object_movement_T013.csv",-0.178490947553598,FALSE,FALSE
"14","visible_plane - B/8/S001","visible_plane - B",8,1,14,1,14,524.7546,527.9104,"A","True",0,"aligned_1_1",90,"example_object_movement_T014.csv",-4.15964229371264,FALSE,FALSE
"15","visible_plane - B/8/S001","visible_plane - B",8,1,15,1,15,527.9104,530.8101,"A","True",0,"aligned_1_1",90,"example_object_movement_T015.csv",-2.33730585912382,FALSE,FALSE
"16","visible_plane - B/8/S001","visible_plane - B",8,1,16,1,16,530.8101,533.9769,"A","True",0,"aligned_1_1",90,"example_object_movement_T016.csv",-2.00635650389984,FALSE,FALSE
"17","visible_plane - B/8/S001","visible_plane - B",8,1,17,1,17,533.9769,537.6099,"A","True",0,"aligned_1_1",90,"example_object_movement_T017.csv",-7.54942176826327,FALSE,FALSE
"18","visible_plane - B/8/S001","visible_plane - B",8,1,18,1,18,537.6099,540.8436,"A","True",0,"aligned_1_1",90,"example_object_movement_T018.csv",0,FALSE,FALSE
"19","visible_plane - B/8/S001","visible_plane - B",8,1,19,1,19,540.8436,544.1993,"A","True",0,"aligned_1_1",90,"example_object_movement_T019.csv",-3.29520995285105,FALSE,FALSE
"20","visible_plane - B/8/S001","visible_plane - B",8,1,20,1,20,544.1993,547.5771,"A","True",0,"aligned_1_1",90,"example_object_movement_T020.csv",-6.10277965365577,FALSE,FALSE
"21","visible_plane - B/8/S001","visible_plane - B",8,1,21,1,21,547.5771,551.4105,"A","True",0,"aligned_1_1",90,"example_object_movement_T021.csv",-3.39635931066188,FALSE,FALSE
"22","visible_plane - B/8/S001","visible_plane - B",8,1,22,1,22,551.4105,554.9328,"A","True",0,"aligned_1_1",90,"example_object_movement_T022.csv",-1.93602158292741,FALSE,FALSE
"23","visible_plane - B/8/S001","visible_plane - B",8,1,23,1,23,554.9328,558.355,"A","True",0,"aligned_1_1",90,"example_object_movement_T023.csv",-2.29767226120416,FALSE,FALSE
"24","visible_plane - B/8/S001","visible_plane - B",8,1,24,1,24,558.355,561.7328,"A","True",0,"aligned_1_1",90,"example_object_movement_T024.csv",-5.71059313749963,FALSE,FALSE
"25","visible_plane - B/8/S001","visible_plane - B",8,1,25,1,25,561.7328,565.1663,"A","True",0,"aligned_1_1",90,"example_object_movement_T025.csv",-3.62772992948734,FALSE,FALSE
"26","visible_plane - B/8/S001","visible_plane - B",8,1,26,1,26,565.1663,568.5549,"A","True",0,"aligned_1_1",90,"example_object_movement_T026.csv",-7.7572500500434,FALSE,FALSE
"27","visible_plane - B/8/S001","visible_plane - B",8,1,27,1,27,568.5549,572.1218,"A","True",0,"aligned_1_1",90,"example_object_movement_T027.csv",-8.73209159006964,FALSE,FALSE
"28","visible_plane - B/8/S001","visible_plane - B",8,1,28,1,28,572.1218,575.7665,"A","True",0,"aligned_1_1",90,"example_object_movement_T028.csv",1.89338584574628,FALSE,FALSE
"29","visible_plane - B/8/S001","visible_plane - B",8,1,29,1,29,575.7665,578.9329,"A","True",0,"aligned_1_1",90,"example_object_movement_T029.csv",-1.9325599608589,FALSE,FALSE
"30","visible_plane - B/8/S001","visible_plane - B",8,1,30,1,30,578.9329,582.033,"A","True",0,"aligned_1_1",90,"example_object_movement_T030.csv",-6.40065156818942,FALSE,FALSE
"31","visible_plane - B/8/S001","visible_plane - B",8,1,31,1,31,582.033,585.1109,"A","True",0,"aligned_1_1",90,"example_object_movement_T031.csv",-13.6713071321958,FALSE,FALSE
"32","visible_plane - B/8/S001","visible_plane - B",8,1,32,1,32,585.1109,588.3553,"A","True",0,"aligned_1_1",90,"example_object_movement_T032.csv",-5.26657162900665,FALSE,FALSE
"33","visible_plane - B/8/S001","visible_plane - B",8,1,33,1,33,588.3553,591.9998,"A","True",0,"aligned_1_1",90,"example_object_movement_T033.csv",-4.93294662867739,FALSE,FALSE
"34","visible_plane - B/8/S001","visible_plane - B",8,1,34,1,34,591.9998,595.9001,"A","True",0,"aligned_1_1",90,"example_object_movement_T034.csv",-8.7073702715204,FALSE,FALSE
"35","visible_plane - B/8/S001","visible_plane - B",8,1,35,1,35,595.9001,599.3224,"A","True",0,"aligned_1_1",90,"example_object_movement_T035.csv",3.79008162819156,FALSE,FALSE
"36","visible_plane - B/8/S001","visible_plane - B",8,1,36,1,36,599.3224,602.9335,"A","True",0,"aligned_1_1",90,"example_object_movement_T036.csv",-4.31302491115268,FALSE,FALSE
"37","visible_plane - B/8/S001","visible_plane - B",8,1,37,1,37,602.9335,606.4889,"A","True",0,"aligned_1_1",90,"example_object_movement_T037.csv",-5.61496744685067,FALSE,FALSE
"38","visible_plane - B/8/S001","visible_plane - B",8,1,38,1,38,606.4889,609.9668,"A","True",0,"aligned_1_1",90,"example_object_movement_T038.csv",-2.61046179979058,FALSE,FALSE
"39","visible_plane - B/8/S001","visible_plane - B",8,1,39,1,39,609.9668,612.9002,"A","True",0,"aligned_1_1",90,"example_object_movement_T039.csv",-1.88818800674093,FALSE,FALSE
"40","visible_plane - B/8/S001","visible_plane - B",8,1,40,1,40,612.9002,615.5889,"A","True",0,"aligned_1_1",90,"example_object_movement_T040.csv",-0.353673159246455,FALSE,FALSE
"41","visible_plane - B/8/S001","visible_plane - B",8,1,41,1,41,615.5889,618.5001,"A","True",0,"aligned_1_1",90,"example_object_movement_T041.csv",-4.86096517309845,FALSE,FALSE
"42","visible_plane - B/8/S001","visible_plane - B",8,1,42,1,42,618.5001,621.6668,"A","True",0,"aligned_1_1",90,"example_object_movement_T042.csv",-9.49005491617596,FALSE,FALSE
"43","visible_plane - B/8/S001","visible_plane - B",8,1,43,1,43,621.6668,624.7114,"A","True",0,"aligned_1_1",90,"example_object_movement_T043.csv",-5.9230408614408,FALSE,FALSE
"44","visible_plane - B/8/S001","visible_plane - B",8,1,44,1,44,624.7114,627.7004,"A","True",0,"aligned_1_1",90,"example_object_movement_T044.csv",-2.58059857738867,FALSE,FALSE
"45","visible_plane - B/8/S001","visible_plane - B",8,1,45,1,45,627.7004,631.0003,"A","True",0,"aligned_1_1",90,"example_object_movement_T045.csv",1.93602158292742,FALSE,FALSE
"46","visible_plane - B/8/S001","visible_plane - B",8,1,46,2,1,631.0003,634.6337,"A","False",0,"no_cursor_1_2",100,"example_object_movement_T046.csv",-9.172083934969,TRUE,FALSE
"47","visible_plane - B/8/S001","visible_plane - B",8,1,47,2,2,634.6337,637.7451,"A","False",0,"no_cursor_1_2",40,"example_object_movement_T047.csv",23.2641720424761,TRUE,FALSE
"48","visible_plane - B/8/S001","visible_plane - B",8,1,48,2,3,637.7451,640.923,"A","False",0,"no_cursor_1_2",60,"example_object_movement_T048.csv",16.7293561235963,TRUE,FALSE
"49","visible_plane - B/8/S001","visible_plane - B",8,1,49,2,4,640.923,647.9003,"A","False",0,"no_cursor_1_2",120,"example_object_movement_T049.csv",-8.19859051364818,TRUE,FALSE
"50","visible_plane - B/8/S001","visible_plane - B",8,1,50,2,5,647.9003,651.1338,"A","False",0,"no_cursor_1_2",80,"example_object_movement_T050.csv",2.49526754938803,TRUE,FALSE
"51","visible_plane - B/8/S001","visible_plane - B",8,1,51,2,6,651.1338,656.0342,"A","False",0,"no_cursor_1_2",140,"example_object_movement_T051.csv",-21.0816519568137,TRUE,FALSE
"52","visible_plane - B/8/S001","visible_plane - B",8,1,52,2,7,656.0342,661.1785,"A","False",0,"no_cursor_1_2",60,"example_object_movement_T052.csv",25.1469036130076,TRUE,FALSE
"53","visible_plane - B/8/S001","visible_plane - B",8,1,53,2,8,661.1785,664.4006,"A","False",0,"no_cursor_1_2",100,"example_object_movement_T053.csv",-11.8840502310918,TRUE,FALSE
"54","visible_plane - B/8/S001","visible_plane - B",8,1,54,2,9,664.4006,678.012,"A","False",0,"no_cursor_1_2",40,"example_object_movement_T054.csv",32.2351466993025,TRUE,FALSE
