"","directory","experiment","ppid","session_num","trial_num","block_num","trial_num_in_block","start_time","end_time","test_to_log","cursor_visibility","rotation","trial_type","target_angle","example_object_movement_filename","angular_dev_h","plane_visible","high_targets"
"1","visible_plane - B/4/S001","visible_plane - B",4,1,1,1,1,197.2471,343.8922,"A","True",0,"aligned_1_1",90,"example_object_movement_T001.csv",-11.5448874877565,FALSE,FALSE
"2","visible_plane - B/4/S001","visible_plane - B",4,1,2,1,2,343.8922,347.2367,"A","True",0,"aligned_1_1",90,"example_object_movement_T002.csv",8.15178066546096,FALSE,FALSE
"3","visible_plane - B/4/S001","visible_plane - B",4,1,3,1,3,347.2367,350.17,"A","True",0,"aligned_1_1",90,"example_object_movement_T003.csv",-0.939190945735575,FALSE,FALSE
"4","visible_plane - B/4/S001","visible_plane - B",4,1,4,1,4,350.17,353.0369,"A","True",0,"aligned_1_1",90,"example_object_movement_T004.csv",-2.97802065194975,FALSE,FALSE
"5","visible_plane - B/4/S001","visible_plane - B",4,1,5,1,5,353.0369,355.6148,"A","True",0,"aligned_1_1",90,"example_object_movement_T005.csv",0.640149669523538,FALSE,FALSE
"6","visible_plane - B/4/S001","visible_plane - B",4,1,6,1,6,355.6148,358.3703,"A","True",0,"aligned_1_1",90,"example_object_movement_T006.csv",-1.56935480474897,FALSE,FALSE
"7","visible_plane - B/4/S001","visible_plane - B",4,1,7,1,7,358.3703,360.8705,"A","True",0,"aligned_1_1",90,"example_object_movement_T007.csv",1.05118074954376,FALSE,FALSE
"8","visible_plane - B/4/S001","visible_plane - B",4,1,8,1,8,360.8705,364.1147,"A","True",0,"aligned_1_1",90,"example_object_movement_T008.csv",2.65936801312291,FALSE,FALSE
"9","visible_plane - B/4/S001","visible_plane - B",4,1,9,1,9,364.1147,366.9037,"A","True",0,"aligned_1_1",90,"example_object_movement_T009.csv",13.552189259089,FALSE,FALSE
"10","visible_plane - B/4/S001","visible_plane - B",4,1,10,1,10,366.9037,369.7816,"A","True",0,"aligned_1_1",90,"example_object_movement_T010.csv",-11.9506472668461,FALSE,FALSE
"11","visible_plane - B/4/S001","visible_plane - B",4,1,11,1,11,369.7816,373.0592,"A","True",0,"aligned_1_1",90,"example_object_movement_T011.csv",-5.1050904465923,FALSE,FALSE
"12","visible_plane - B/4/S001","visible_plane - B",4,1,12,1,12,373.0592,376.2704,"A","True",0,"aligned_1_1",90,"example_object_movement_T012.csv",0,FALSE,FALSE
"13","visible_plane - B/4/S001","visible_plane - B",4,1,13,1,13,376.2704,379.2148,"A","True",0,"aligned_1_1",90,"example_object_movement_T013.csv",-0.722936768437506,FALSE,FALSE
"14","visible_plane - B/4/S001","visible_plane - B",4,1,14,1,14,379.2148,382.1928,"A","True",0,"aligned_1_1",90,"example_object_movement_T014.csv",-7.34219434897607,FALSE,FALSE
"15","visible_plane - B/4/S001","visible_plane - B",4,1,15,1,15,382.1928,385.1818,"A","True",0,"aligned_1_1",90,"example_object_movement_T015.csv",-6.13361985347039,FALSE,FALSE
"16","visible_plane - B/4/S001","visible_plane - B",4,1,16,1,16,385.1818,388.1374,"A","True",0,"aligned_1_1",90,"example_object_movement_T016.csv",-11.2744990960309,FALSE,FALSE
"17","visible_plane - B/4/S001","visible_plane - B",4,1,17,1,17,388.1374,391.5706,"A","True",0,"aligned_1_1",90,"example_object_movement_T017.csv",-13.0333563259138,FALSE,FALSE
"18","visible_plane - B/4/S001","visible_plane - B",4,1,18,1,18,391.5706,394.3706,"A","True",0,"aligned_1_1",90,"example_object_movement_T018.csv",-1.06749968374021,FALSE,FALSE
"19","visible_plane - B/4/S001","visible_plane - B",4,1,19,1,19,394.3706,397.215,"A","True",0,"aligned_1_1",90,"example_object_movement_T019.csv",-4.86833237468518,FALSE,FALSE
"20","visible_plane - B/4/S001","visible_plane - B",4,1,20,1,20,397.215,400.2929,"A","True",0,"aligned_1_1",90,"example_object_movement_T020.csv",-0.559875790161669,FALSE,FALSE
"21","visible_plane - B/4/S001","visible_plane - B",4,1,21,1,21,400.2929,406.2708,"A","True",0,"aligned_1_1",90,"example_object_movement_T021.csv",13.0755810990899,FALSE,FALSE
"22","visible_plane - B/4/S001","visible_plane - B",4,1,22,1,22,406.2708,410.0267,"A","True",0,"aligned_1_1",90,"example_object_movement_T022.csv",4.14983529098198,FALSE,FALSE
"23","visible_plane - B/4/S001","visible_plane - B",4,1,23,1,23,410.0267,412.6932,"A","True",0,"aligned_1_1",90,"example_object_movement_T023.csv",-6.76035326399628,FALSE,FALSE
"24","visible_plane - B/4/S001","visible_plane - B",4,1,24,1,24,412.6932,417.4601,"A","True",0,"aligned_1_1",90,"example_object_movement_T024.csv",-1.40145205073334,FALSE,FALSE
"25","visible_plane - B/4/S001","visible_plane - B",4,1,25,1,25,417.4601,420.4933,"A","True",0,"aligned_1_1",90,"example_object_movement_T025.csv",-6.45246288800251,FALSE,FALSE
"26","visible_plane - B/4/S001","visible_plane - B",4,1,26,1,26,420.4933,423.2603,"A","True",0,"aligned_1_1",90,"example_object_movement_T026.csv",-1.8476102659946,FALSE,FALSE
