"","directory","experiment","ppid","session_num","trial_num","block_num","trial_num_in_block","start_time","end_time","test_to_log","cursor_visibility","rotation","trial_type","target_angle","example_object_movement_filename","angular_dev_h","plane_visible","high_targets"
"1","visible_plane - A/7/S001","visible_plane - A",7,1,1,1,1,329.3794,461.2621,"A",TRUE,0,"aligned_1_1",90,"example_object_movement_T001.csv",18.0496804158258,FALSE,FALSE
"2","visible_plane - A/7/S001","visible_plane - A",7,1,2,1,2,461.2621,464.6512,"A",TRUE,0,"aligned_1_1",90,"example_object_movement_T002.csv",-2.68639475436078,FALSE,FALSE
"3","visible_plane - A/7/S001","visible_plane - A",7,1,3,1,3,464.6512,468.0403,"A",TRUE,0,"aligned_1_1",90,"example_object_movement_T003.csv",-2.48236669608512,FALSE,FALSE
"4","visible_plane - A/7/S001","visible_plane - A",7,1,4,1,4,468.0403,471.4403,"A",TRUE,0,"aligned_1_1",90,"example_object_movement_T004.csv",-5.10216525235818,FALSE,FALSE
"5","visible_plane - A/7/S001","visible_plane - A",7,1,5,1,5,471.4403,474.8737,"A",TRUE,0,"aligned_1_1",90,"example_object_movement_T005.csv",-28.2016282186947,FALSE,FALSE
"6","visible_plane - A/7/S001","visible_plane - A",7,1,6,1,6,474.8737,478.7181,"A",TRUE,0,"aligned_1_1",90,"example_object_movement_T006.csv",-9.55428967240177,FALSE,FALSE
"7","visible_plane - A/7/S001","visible_plane - A",7,1,7,1,7,478.7181,482.1628,"A",TRUE,0,"aligned_1_1",90,"example_object_movement_T007.csv",-4.03341107277019,FALSE,FALSE
"8","visible_plane - A/7/S001","visible_plane - A",7,1,8,1,8,482.1628,485.7739,"A",TRUE,0,"aligned_1_1",90,"example_object_movement_T008.csv",-13.9444969018057,FALSE,FALSE
"9","visible_plane - A/7/S001","visible_plane - A",7,1,9,1,9,485.7739,489.5407,"A",TRUE,0,"aligned_1_1",90,"example_object_movement_T009.csv",-15.5142273019216,FALSE,FALSE
"10","visible_plane - A/7/S001","visible_plane - A",7,1,10,1,10,489.5407,493.7185,"A",TRUE,0,"aligned_1_1",90,"example_object_movement_T010.csv",-16.9354017849444,FALSE,FALSE
"11","visible_plane - A/7/S001","visible_plane - A",7,1,11,1,11,493.7185,497.2521,"A",TRUE,0,"aligned_1_1",90,"example_object_movement_T011.csv",-14.8313858509425,FALSE,FALSE
"12","visible_plane - A/7/S001","visible_plane - A",7,1,12,1,12,497.2521,500.9742,"A",TRUE,0,"aligned_1_1",90,"example_object_movement_T012.csv",-10.105036365038,FALSE,FALSE
"13","visible_plane - A/7/S001","visible_plane - A",7,1,13,1,13,500.9742,504.5406,"A",TRUE,0,"aligned_1_1",90,"example_object_movement_T013.csv",-11.6829466018182,FALSE,FALSE
"14","visible_plane - A/7/S001","visible_plane - A",7,1,14,1,14,504.5406,508.2964,"A",TRUE,0,"aligned_1_1",90,"example_object_movement_T014.csv",-15.1577873479064,FALSE,FALSE
"15","visible_plane - A/7/S001","visible_plane - A",7,1,15,1,15,508.2964,511.8187,"A",TRUE,0,"aligned_1_1",90,"example_object_movement_T015.csv",-3.90049374238188,FALSE,FALSE
"16","visible_plane - A/7/S001","visible_plane - A",7,1,16,1,16,511.8187,515.0408,"A",TRUE,0,"aligned_1_1",90,"example_object_movement_T016.csv",-6.45246288800251,FALSE,FALSE
"17","visible_plane - A/7/S001","visible_plane - A",7,1,17,1,17,515.0408,518.6631,"A",TRUE,0,"aligned_1_1",90,"example_object_movement_T017.csv",-12.914632042321,FALSE,FALSE
"18","visible_plane - A/7/S001","visible_plane - A",7,1,18,1,18,518.6631,521.641,"A",TRUE,0,"aligned_1_1",90,"example_object_movement_T018.csv",-13.0660044692958,FALSE,FALSE
"19","visible_plane - A/7/S001","visible_plane - A",7,1,19,1,19,521.641,525.2855,"A",TRUE,0,"aligned_1_1",90,"example_object_movement_T019.csv",-5.15987174695945,FALSE,FALSE
"20","visible_plane - A/7/S001","visible_plane - A",7,1,20,1,20,525.2855,528.6411,"A",TRUE,0,"aligned_1_1",90,"example_object_movement_T020.csv",-4.42583403644981,FALSE,FALSE
"21","visible_plane - A/7/S001","visible_plane - A",7,1,21,1,21,528.6411,532.019,"A",TRUE,0,"aligned_1_1",90,"example_object_movement_T021.csv",-22.271862792136,FALSE,FALSE
"22","visible_plane - A/7/S001","visible_plane - A",7,1,22,1,22,532.019,535.1744,"A",TRUE,0,"aligned_1_1",90,"example_object_movement_T022.csv",-16.0239190763108,FALSE,FALSE
"23","visible_plane - A/7/S001","visible_plane - A",7,1,23,1,23,535.1744,538.1746,"A",TRUE,0,"aligned_1_1",90,"example_object_movement_T023.csv",-23.4399360934349,FALSE,FALSE
"24","visible_plane - A/7/S001","visible_plane - A",7,1,24,1,24,538.1746,541.4635,"A",TRUE,0,"aligned_1_1",90,"example_object_movement_T024.csv",-11.0702025779394,FALSE,FALSE
"25","visible_plane - A/7/S001","visible_plane - A",7,1,25,1,25,541.4635,544.8909,"A",TRUE,0,"aligned_1_1",90,"example_object_movement_T025.csv",-33.1181685753181,FALSE,FALSE
"26","visible_plane - A/7/S001","visible_plane - A",7,1,26,1,26,544.8909,548.2081,"A",TRUE,0,"aligned_1_1",90,"example_object_movement_T026.csv",-12.9946167919165,FALSE,FALSE
"27","visible_plane - A/7/S001","visible_plane - A",7,1,27,1,27,548.2081,551.608,"A",TRUE,0,"aligned_1_1",90,"example_object_movement_T027.csv",-13.2620233029984,FALSE,FALSE
"28","visible_plane - A/7/S001","visible_plane - A",7,1,28,1,28,551.608,555.4194,"A",TRUE,0,"aligned_1_1",90,"example_object_movement_T028.csv",-24.3884087197639,FALSE,FALSE
"29","visible_plane - A/7/S001","visible_plane - A",7,1,29,1,29,555.4194,559.097,"A",TRUE,0,"aligned_1_1",90,"example_object_movement_T029.csv",-11.6137964581377,FALSE,FALSE
"30","visible_plane - A/7/S001","visible_plane - A",7,1,30,1,30,559.097,566.4195,"A",TRUE,0,"aligned_1_1",90,"example_object_movement_T030.csv",-1.70135460532612,FALSE,FALSE
"31","visible_plane - A/7/S001","visible_plane - A",7,1,31,1,31,566.4195,570.386,"A",TRUE,0,"aligned_1_1",90,"example_object_movement_T031.csv",-13.9920337702858,FALSE,FALSE
"32","visible_plane - A/7/S001","visible_plane - A",7,1,32,1,32,570.386,573.2527,"A",TRUE,0,"aligned_1_1",90,"example_object_movement_T032.csv",-5.98944774712155,FALSE,FALSE
"33","visible_plane - A/7/S001","visible_plane - A",7,1,33,1,33,573.2527,575.9526,"A",TRUE,0,"aligned_1_1",90,"example_object_movement_T033.csv",-11.5921754102911,FALSE,FALSE
"34","visible_plane - A/7/S001","visible_plane - A",7,1,34,1,34,575.9526,578.6306,"A",TRUE,0,"aligned_1_1",90,"example_object_movement_T034.csv",-9.60789044032735,FALSE,FALSE
"35","visible_plane - A/7/S001","visible_plane - A",7,1,35,1,35,578.6306,581.5974,"A",TRUE,0,"aligned_1_1",90,"example_object_movement_T035.csv",-9.00003648978502,FALSE,FALSE
"36","visible_plane - A/7/S001","visible_plane - A",7,1,36,1,36,581.5974,584.2751,"A",TRUE,0,"aligned_1_1",90,"example_object_movement_T036.csv",-8.10769493272772,FALSE,FALSE
"37","visible_plane - A/7/S001","visible_plane - A",7,1,37,1,37,584.2751,586.9753,"A",TRUE,0,"aligned_1_1",90,"example_object_movement_T037.csv",-10.2397746290401,FALSE,FALSE
"38","visible_plane - A/7/S001","visible_plane - A",7,1,38,1,38,586.9753,589.7308,"A",TRUE,0,"aligned_1_1",90,"example_object_movement_T038.csv",-4.15385308695119,FALSE,FALSE
"39","visible_plane - A/7/S001","visible_plane - A",7,1,39,1,39,589.7308,592.4975,"A",TRUE,0,"aligned_1_1",90,"example_object_movement_T039.csv",-7.74034115883792,FALSE,FALSE
"40","visible_plane - A/7/S001","visible_plane - A",7,1,40,1,40,592.4975,595.4307,"A",TRUE,0,"aligned_1_1",90,"example_object_movement_T040.csv",-11.1695019230829,FALSE,FALSE
"41","visible_plane - A/7/S001","visible_plane - A",7,1,41,1,41,595.4307,598.0309,"A",TRUE,0,"aligned_1_1",90,"example_object_movement_T041.csv",-7.43140797117252,FALSE,FALSE
"42","visible_plane - A/7/S001","visible_plane - A",7,1,42,1,42,598.0309,600.9865,"A",TRUE,0,"aligned_1_1",90,"example_object_movement_T042.csv",-0.185422587343936,FALSE,FALSE
"43","visible_plane - A/7/S001","visible_plane - A",7,1,43,1,43,600.9865,603.7532,"A",TRUE,0,"aligned_1_1",90,"example_object_movement_T043.csv",-2.34835331309959,FALSE,FALSE
"44","visible_plane - A/7/S001","visible_plane - A",7,1,44,1,44,603.7532,606.7197,"A",TRUE,0,"aligned_1_1",90,"example_object_movement_T044.csv",-12.1076702567603,FALSE,FALSE
"45","visible_plane - A/7/S001","visible_plane - A",7,1,45,1,45,606.7197,609.5531,"A",TRUE,0,"aligned_1_1",90,"example_object_movement_T045.csv",-9.70192678936502,FALSE,FALSE
"46","visible_plane - A/7/S001","visible_plane - A",7,1,46,2,1,609.5531,631.2202,"A",FALSE,0,"no_cursor_1_2",100,"example_object_movement_T046.csv",-14.4671590613893,FALSE,FALSE
"47","visible_plane - A/7/S001","visible_plane - A",7,1,47,2,2,631.2202,646.4537,"A",FALSE,0,"no_cursor_1_2",80,"example_object_movement_T047.csv",-23.2268942727395,FALSE,FALSE
"48","visible_plane - A/7/S001","visible_plane - A",7,1,48,2,3,646.4537,651.5317,"A",FALSE,0,"no_cursor_1_2",140,"example_object_movement_T048.csv",-13.0933035284431,FALSE,FALSE
"49","visible_plane - A/7/S001","visible_plane - A",7,1,49,2,4,651.5317,655.0759,"A",FALSE,0,"no_cursor_1_2",40,"example_object_movement_T049.csv",-6.35857064528523,FALSE,FALSE
"50","visible_plane - A/7/S001","visible_plane - A",7,1,50,2,5,655.0759,659.3206,"A",FALSE,0,"no_cursor_1_2",120,"example_object_movement_T050.csv",-20.7164471947386,FALSE,FALSE
