"","directory","experiment","ppid","session_num","trial_num","block_num","trial_num_in_block","start_time","end_time","test_to_log","cursor_visibility","rotation","trial_type","target_angle","example_object_movement_filename","angular_dev_h","plane_visible","high_targets"
"1","visible_plane - B/6/S001","visible_plane - B",6,1,1,1,1,14.89291,159.0936,"A","True",0,"aligned_1_1",90,"example_object_movement_T001.csv",-2.95794152905943,FALSE,FALSE
"2","visible_plane - B/6/S001","visible_plane - B",6,1,2,1,2,159.0936,164.605,"A","True",0,"aligned_1_1",90,"example_object_movement_T002.csv",-8.07948772110926,FALSE,FALSE
"3","visible_plane - B/6/S001","visible_plane - B",6,1,3,1,3,164.605,169.1163,"A","True",0,"aligned_1_1",90,"example_object_movement_T003.csv",-9.64804531609816,FALSE,FALSE
"4","visible_plane - B/6/S001","visible_plane - B",6,1,4,1,4,169.1163,173.916,"A","True",0,"aligned_1_1",90,"example_object_movement_T004.csv",-12.7879726548023,FALSE,FALSE
"5","visible_plane - B/6/S001","visible_plane - B",6,1,5,1,5,173.916,183.7608,"A","True",0,"aligned_1_1",90,"example_object_movement_T005.csv",-12.4318606282151,FALSE,FALSE
"6","visible_plane - B/6/S001","visible_plane - B",6,1,6,1,6,183.7608,189.2719,"A","True",0,"aligned_1_1",90,"example_object_movement_T006.csv",-14.7967622450573,FALSE,FALSE
"7","visible_plane - B/6/S001","visible_plane - B",6,1,7,1,7,189.2719,193.7276,"A","True",0,"aligned_1_1",90,"example_object_movement_T007.csv",-20.34217618857,FALSE,FALSE
"8","visible_plane - B/6/S001","visible_plane - B",6,1,8,1,8,193.7276,198.1165,"A","True",0,"aligned_1_1",90,"example_object_movement_T008.csv",-13.3052365060911,FALSE,FALSE
"9","visible_plane - B/6/S001","visible_plane - B",6,1,9,1,9,198.1165,202.9278,"A","True",0,"aligned_1_1",90,"example_object_movement_T009.csv",-9.83356396420712,FALSE,FALSE
"10","visible_plane - B/6/S001","visible_plane - B",6,1,10,1,10,202.9278,206.9053,"A","True",0,"aligned_1_1",90,"example_object_movement_T010.csv",-14.7626169692944,FALSE,FALSE
"11","visible_plane - B/6/S001","visible_plane - B",6,1,11,1,11,206.9053,211.15,"A","True",0,"aligned_1_1",90,"example_object_movement_T011.csv",-4.60212146902427,FALSE,FALSE
