"","directory","experiment","ppid","session_num","trial_num","block_num","trial_num_in_block","start_time","end_time","test_to_log","cursor_visibility","rotation","trial_type","target_angle","example_object_movement_filename","angular_dev_h","plane_visible","high_targets"
"1","visible_plane - A/2/S001","visible_plane - A",2,1,1,1,1,17.41577,223.8949,"A","True",0,"aligned_1_1",90,"example_object_movement_T001.csv",-12.3807569288072,FALSE,FALSE
"2","visible_plane - A/2/S001","visible_plane - A",2,1,2,1,2,223.8949,226.6728,"A","True",0,"aligned_1_1",90,"example_object_movement_T002.csv",-2.96945384165993,FALSE,FALSE
"3","visible_plane - A/2/S001","visible_plane - A",2,1,3,1,3,226.6728,229.9504,"A","True",0,"aligned_1_1",90,"example_object_movement_T003.csv",-13.9154514202223,FALSE,FALSE
"4","visible_plane - A/2/S001","visible_plane - A",2,1,4,1,4,229.9504,232.8395,"A","True",0,"aligned_1_1",90,"example_object_movement_T004.csv",-2.99530328760274,FALSE,FALSE
"5","visible_plane - A/2/S001","visible_plane - A",2,1,5,1,5,232.8395,235.5948,"A","True",0,"aligned_1_1",90,"example_object_movement_T005.csv",-5.95983911071306,FALSE,FALSE
"6","visible_plane - A/2/S001","visible_plane - A",2,1,6,1,6,235.5948,238.5952,"A","True",0,"aligned_1_1",90,"example_object_movement_T006.csv",-8.95370462763415,FALSE,FALSE
"7","visible_plane - A/2/S001","visible_plane - A",2,1,7,1,7,238.5952,241.673,"A","True",0,"aligned_1_1",90,"example_object_movement_T007.csv",-16.9509341472599,FALSE,FALSE
"8","visible_plane - A/2/S001","visible_plane - A",2,1,8,1,8,241.673,244.5176,"A","True",0,"aligned_1_1",90,"example_object_movement_T008.csv",-7.26805116466979,FALSE,FALSE
"9","visible_plane - A/2/S001","visible_plane - A",2,1,9,1,9,244.5176,247.5618,"A","True",0,"aligned_1_1",90,"example_object_movement_T009.csv",2.6942842898561,FALSE,FALSE
"10","visible_plane - A/2/S001","visible_plane - A",2,1,10,1,10,247.5618,250.5396,"A","True",0,"aligned_1_1",90,"example_object_movement_T010.csv",-8.3390194939502,FALSE,FALSE
"11","visible_plane - A/2/S001","visible_plane - A",2,1,11,1,11,250.5396,253.4286,"A","True",0,"aligned_1_1",90,"example_object_movement_T011.csv",-1.39718102729637,FALSE,FALSE
"12","visible_plane - A/2/S001","visible_plane - A",2,1,12,1,12,253.4286,256.1509,"A","True",0,"aligned_1_1",90,"example_object_movement_T012.csv",-8.1085382680409,FALSE,FALSE
"13","visible_plane - A/2/S001","visible_plane - A",2,1,13,1,13,256.1509,259.0289,"A","True",0,"aligned_1_1",90,"example_object_movement_T013.csv",-10.1755108430432,FALSE,FALSE
"14","visible_plane - A/2/S001","visible_plane - A",2,1,14,1,14,259.0289,261.851,"A","True",0,"aligned_1_1",90,"example_object_movement_T014.csv",-3.15071641326774,FALSE,FALSE
"15","visible_plane - A/2/S001","visible_plane - A",2,1,15,1,15,261.851,264.34,"A","True",0,"aligned_1_1",90,"example_object_movement_T015.csv",-8.58049432262807,FALSE,FALSE
"16","visible_plane - A/2/S001","visible_plane - A",2,1,16,1,16,264.34,266.7731,"A","True",0,"aligned_1_1",90,"example_object_movement_T016.csv",-7.39959465988711,FALSE,FALSE
"17","visible_plane - A/2/S001","visible_plane - A",2,1,17,1,17,266.7731,269.4399,"A","True",0,"aligned_1_1",90,"example_object_movement_T017.csv",1.03848045782011,FALSE,FALSE
"18","visible_plane - A/2/S001","visible_plane - A",2,1,18,1,18,269.4399,272.0511,"A","True",0,"aligned_1_1",90,"example_object_movement_T018.csv",-0.658543177563601,FALSE,FALSE
"19","visible_plane - A/2/S001","visible_plane - A",2,1,19,1,19,272.0511,274.8734,"A","True",0,"aligned_1_1",90,"example_object_movement_T019.csv",-3.39794762463799,FALSE,FALSE
"20","visible_plane - A/2/S001","visible_plane - A",2,1,20,1,20,274.8734,277.6289,"A","True",0,"aligned_1_1",90,"example_object_movement_T020.csv",-5.09049783318166,FALSE,FALSE
