"","directory","experiment","ppid","session_num","trial_num","block_num","trial_num_in_block","start_time","end_time","test_to_log","cursor_visibility","rotation","trial_type","target_angle","example_object_movement_filename","angular_dev_h","plane_visible","high_targets"
"1","visible_plane - A/3/S001","visible_plane - A",3,1,1,1,1,5.173739,78.36306,"A","True",0,"aligned_1_1",90,"example_object_movement_T001.csv",0.545657593415726,FALSE,FALSE
"2","visible_plane - A/3/S001","visible_plane - A",3,1,2,1,2,78.36306,82.04099,"A","True",0,"aligned_1_1",90,"example_object_movement_T002.csv",0.370841290828068,FALSE,FALSE
"3","visible_plane - A/3/S001","visible_plane - A",3,1,3,1,3,82.04099,85.31894,"A","True",0,"aligned_1_1",90,"example_object_movement_T003.csv",-6.99334538680613,FALSE,FALSE
"4","visible_plane - A/3/S001","visible_plane - A",3,1,4,1,4,85.31894,88.1523,"A","True",0,"aligned_1_1",90,"example_object_movement_T004.csv",-1.42763667456023,FALSE,FALSE
"5","visible_plane - A/3/S001","visible_plane - A",3,1,5,1,5,88.1523,91.21883,"A","True",0,"aligned_1_1",90,"example_object_movement_T005.csv",1.13281975836748,FALSE,FALSE
"6","visible_plane - A/3/S001","visible_plane - A",3,1,6,1,6,91.21883,94.24106,"A","True",0,"aligned_1_1",90,"example_object_movement_T006.csv",7.64604814531847,FALSE,FALSE
"7","visible_plane - A/3/S001","visible_plane - A",3,1,7,1,7,94.24106,96.75275,"A","True",0,"aligned_1_1",90,"example_object_movement_T007.csv",7.35839908875371,FALSE,FALSE
"8","visible_plane - A/3/S001","visible_plane - A",3,1,8,1,8,96.75275,101.2856,"A","True",0,"aligned_1_1",90,"example_object_movement_T008.csv",12.8201396705083,FALSE,FALSE
"9","visible_plane - A/3/S001","visible_plane - A",3,1,9,1,9,101.2856,104.2969,"A","True",0,"aligned_1_1",90,"example_object_movement_T009.csv",-1.1077913766686,FALSE,FALSE
"10","visible_plane - A/3/S001","visible_plane - A",3,1,10,1,10,104.2969,106.8857,"A","True",0,"aligned_1_1",90,"example_object_movement_T010.csv",5.44865144135987,FALSE,FALSE
"11","visible_plane - A/3/S001","visible_plane - A",3,1,11,1,11,106.8857,110.0411,"A","True",0,"aligned_1_1",90,"example_object_movement_T011.csv",5.96448710125314,FALSE,FALSE
"12","visible_plane - A/3/S001","visible_plane - A",3,1,12,1,12,110.0411,112.9412,"A","True",0,"aligned_1_1",90,"example_object_movement_T012.csv",-1.1077913766686,FALSE,FALSE
"13","visible_plane - A/3/S001","visible_plane - A",3,1,13,1,13,112.9412,116.4972,"A","True",0,"aligned_1_1",90,"example_object_movement_T013.csv",2.21569583658922,FALSE,FALSE
"14","visible_plane - A/3/S001","visible_plane - A",3,1,14,1,14,116.4972,120.1636,"A","True",0,"aligned_1_1",90,"example_object_movement_T014.csv",-2.05103841709088,FALSE,FALSE
